electricalBikesInUsage,bikesInUsage,dateTime,mechanicalBikesInUsage,error,_id
0,50,2019-01-01T00:00:11,50,0,1
0,47,2019-01-01T00:05:12,47,0,2
0,50,2019-01-01T00:10:12,50,0,3
0,76,2019-01-01T00:15:12,76,0,4
0,119,2019-01-01T00:20:12,119,0,5
0,133,2019-01-01T00:25:12,133,0,6
0,156,2019-01-01T00:30:11,156,0,7
0,173,2019-01-01T00:35:11,173,0,8
0,179,2019-01-01T00:40:11,179,0,9
0,197,2019-01-01T00:45:12,197,0,10
0,210,2019-01-01T00:50:12,210,0,11
0,188,2019-01-01T00:55:11,188,0,12
0,162,2019-01-01T01:00:12,162,0,13
0,147,2019-01-01T01:05:12,147,0,14
0,169,2019-01-01T01:10:11,169,0,15
0,164,2019-01-01T01:15:12,164,0,16
0,164,2019-01-01T01:20:12,164,0,17
0,145,2019-01-01T01:25:11,145,0,18
0,138,2019-01-01T01:30:12,138,0,19
0,134,2019-01-01T01:35:12,134,0,20
0,135,2019-01-01T01:40:12,135,0,21
0,140,2019-01-01T01:45:12,140,0,22
0,132,2019-01-01T01:50:11,132,0,23
0,132,2019-01-01T01:55:12,132,0,24
0,125,2019-01-01T02:00:11,125,0,25
0,121,2019-01-01T02:05:11,121,0,26
0,113,2019-01-01T02:10:12,113,0,27
0,107,2019-01-01T02:15:11,107,0,28
0,93,2019-01-01T02:20:12,93,0,29
0,94,2019-01-01T02:25:12,94,0,30
0,102,2019-01-01T02:30:11,102,0,31
0,105,2019-01-01T02:35:12,105,0,32
0,92,2019-01-01T02:40:12,92,0,33
0,83,2019-01-01T02:45:11,83,0,34
0,80,2019-01-01T02:50:12,80,0,35
0,75,2019-01-01T02:55:11,75,0,36
0,83,2019-01-01T03:00:11,83,0,37
0,86,2019-01-01T03:05:11,86,0,38
0,78,2019-01-01T03:10:12,78,0,39
0,72,2019-01-01T03:15:11,72,0,40
0,75,2019-01-01T03:20:11,75,0,41
0,71,2019-01-01T03:25:12,71,0,42
0,79,2019-01-01T03:30:11,79,0,43
0,91,2019-01-01T03:35:12,91,0,44
0,88,2019-01-01T03:40:11,88,0,45
0,89,2019-01-01T03:45:11,89,0,46
0,81,2019-01-01T03:50:12,81,0,47
0,69,2019-01-01T03:55:11,69,0,48
0,63,2019-01-01T04:00:11,63,0,49
0,68,2019-01-01T04:05:12,68,0,50
0,83,2019-01-01T04:10:11,83,0,51
0,92,2019-01-01T04:15:11,92,0,52
0,84,2019-01-01T04:20:12,84,0,53
0,86,2019-01-01T04:25:11,86,0,54
0,86,2019-01-01T04:33:47,86,0,55
0,87,2019-01-01T04:35:11,87,0,56
0,91,2019-01-01T04:40:11,91,0,57
0,83,2019-01-01T04:45:11,83,0,58
0,72,2019-01-01T04:50:12,72,0,59
0,58,2019-01-01T04:55:11,58,0,60
0,67,2019-01-01T05:00:11,67,0,61
1,73,2019-01-01T05:05:13,72,0,62
1,72,2019-01-01T05:10:13,71,0,63
1,77,2019-01-01T05:15:13,76,0,64
1,83,2019-01-01T05:20:13,82,0,65
0,80,2019-01-01T05:25:13,80,0,66
1,73,2019-01-01T05:30:13,72,0,67
1,84,2019-01-01T05:35:13,83,0,68
1,91,2019-01-01T05:40:13,90,0,69
1,89,2019-01-01T05:45:13,88,0,70
1,91,2019-01-01T05:50:13,90,0,71
0,96,2019-01-01T05:55:13,96,0,72
0,92,2019-01-01T06:00:13,92,0,73
0,89,2019-01-01T06:05:14,89,0,74
0,89,2019-01-01T06:10:13,89,0,75
0,93,2019-01-01T06:15:13,93,0,76
0,93,2019-01-01T06:20:13,93,0,77
0,97,2019-01-01T06:25:13,97,0,78
0,100,2019-01-01T06:30:13,100,0,79
0,104,2019-01-01T06:35:13,104,0,80
1,118,2019-01-01T06:40:13,117,0,81
1,104,2019-01-01T06:45:14,103,0,82
0,108,2019-01-01T06:50:13,108,0,83
0,123,2019-01-01T06:55:13,123,0,84
0,105,2019-01-01T07:00:13,105,0,85
0,92,2019-01-01T07:05:13,92,0,86
0,104,2019-01-01T07:10:13,104,0,87
0,101,2019-01-01T07:15:13,101,0,88
0,107,2019-01-01T07:20:13,107,0,89
0,100,2019-01-01T07:25:13,100,0,90
1,89,2019-01-01T07:30:13,88,0,91
2,103,2019-01-01T07:35:13,101,0,92
2,97,2019-01-01T07:40:13,95,0,93
1,86,2019-01-01T07:45:13,85,0,94
1,76,2019-01-01T07:50:14,75,0,95
2,68,2019-01-01T07:55:13,66,0,96
2,74,2019-01-01T08:00:13,72,0,97
4,81,2019-01-01T08:05:13,77,0,98
3,77,2019-01-01T08:10:13,74,0,99
3,78,2019-01-01T08:15:13,75,0,100
